County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
31 - Placer,2014-03-03T00:00:00,In Review,"$12,057,783.00 ",18,Greater Sacramento Counties
31 - Placer,2014-03-03T00:00:00,Pending Construction,"$1,280,428.00 ",8,Greater Sacramento Counties
31 - Placer,2014-03-03T00:00:00,In Construction,"$15,012,801.00 ",14,Greater Sacramento Counties
31 - Placer,2014-03-03T00:00:00,In Closure,"$124,340,493.00 ",15,Greater Sacramento Counties
32 - Plumas,2014-03-03T00:00:00,In Review,"$51,487.00 ",3,""
32 - Plumas,2014-03-03T00:00:00,Pending Construction,"$83,000.00 ",2,""
32 - Plumas,2014-03-03T00:00:00,In Construction,"$85,900.00 ",2,""
32 - Plumas,2014-03-03T00:00:00,In Closure,$0.00 ,0,""
33 - Riverside,2014-03-03T00:00:00,In Review,"$261,058,378.00 ",64,""
33 - Riverside,2014-03-03T00:00:00,Pending Construction,"$141,760,079.00 ",66,""
33 - Riverside,2014-03-03T00:00:00,In Construction,"$146,711,857.00 ",117,""
33 - Riverside,2014-03-03T00:00:00,In Closure,"$50,636,164.00 ",120,""
34 - Sacramento,2014-03-03T00:00:00,In Review,"$59,141,065.00 ",50,Greater Sacramento Counties
34 - Sacramento,2014-03-03T00:00:00,Pending Construction,"$92,827,584.00 ",38,Greater Sacramento Counties
34 - Sacramento,2014-03-03T00:00:00,In Construction,"$264,794,157.00 ",129,Greater Sacramento Counties
34 - Sacramento,2014-03-03T00:00:00,In Closure,"$110,547,667.00 ",47,Greater Sacramento Counties
35 - San Benito,2014-03-03T00:00:00,In Review,"$164,000.00 ",1,""
35 - San Benito,2014-03-03T00:00:00,Pending Construction,$0.00 ,0,""
35 - San Benito,2014-03-03T00:00:00,In Construction,"$14,006,955.00 ",3,""
35 - San Benito,2014-03-03T00:00:00,In Closure,"$477,000.00 ",3,""
36 - San Bernardino,2014-03-03T00:00:00,In Review,"$82,988,765.00 ",52,""
36 - San Bernardino,2014-03-03T00:00:00,Pending Construction,"$124,872,859.00 ",52,""
36 - San Bernardino,2014-03-03T00:00:00,In Construction,"$204,097,079.00 ",110,""
36 - San Bernardino,2014-03-03T00:00:00,In Closure,"$21,079,390.00 ",86,""
37 - San Diego,2014-03-03T00:00:00,In Review,"$216,498,146.00 ",115,""
37 - San Diego,2014-03-03T00:00:00,Pending Construction,"$300,386,255.00 ",117,""
37 - San Diego,2014-03-03T00:00:00,In Construction,"$868,205,478.00 ",224,""
37 - San Diego,2014-03-03T00:00:00,In Closure,"$397,218,252.00 ",228,""
38 - San Francisco,2014-03-03T00:00:00,In Review,"$1,898,638,960.00 ",69,Bay Area Counties
38 - San Francisco,2014-03-03T00:00:00,Pending Construction,"$357,142,704.00 ",61,Bay Area Counties
38 - San Francisco,2014-03-03T00:00:00,In Construction,"$1,171,630,503.00 ",111,Bay Area Counties
38 - San Francisco,2014-03-03T00:00:00,In Closure,"$445,709,868.00 ",105,Bay Area Counties
39 - San Joaquin,2014-03-03T00:00:00,In Review,"$3,520,715.00 ",19,""
39 - San Joaquin,2014-03-03T00:00:00,Pending Construction,"$91,155,299.00 ",26,""
39 - San Joaquin,2014-03-03T00:00:00,In Construction,"$24,375,495.00 ",52,""
39 - San Joaquin,2014-03-03T00:00:00,In Closure,"$21,559,428.00 ",22,""
40 - San Luis Obispo,2014-03-03T00:00:00,In Review,"$3,168,415.00 ",13,""
40 - San Luis Obispo,2014-03-03T00:00:00,Pending Construction,"$433,000.00 ",11,""
40 - San Luis Obispo,2014-03-03T00:00:00,In Construction,"$6,577,753.00 ",17,""
40 - San Luis Obispo,2014-03-03T00:00:00,In Closure,"$10,828,412.00 ",28,""
41 - San Mateo,2014-03-03T00:00:00,In Review,"$74,380,265.00 ",30,Bay Area Counties
41 - San Mateo,2014-03-03T00:00:00,Pending Construction,"$17,575,179.00 ",21,Bay Area Counties
41 - San Mateo,2014-03-03T00:00:00,In Construction,"$300,070,360.00 ",65,Bay Area Counties
41 - San Mateo,2014-03-03T00:00:00,In Closure,"$139,852,278.00 ",51,Bay Area Counties
42 - Santa Barbara,2014-03-03T00:00:00,In Review,"$10,071,857.00 ",14,""
42 - Santa Barbara,2014-03-03T00:00:00,Pending Construction,"$77,316,444.00 ",16,""
42 - Santa Barbara,2014-03-03T00:00:00,In Construction,"$301,606,872.00 ",49,""
42 - Santa Barbara,2014-03-03T00:00:00,In Closure,"$80,356,006.00 ",20,""
43 - Santa Clara,2014-03-03T00:00:00,In Review,"$703,157,218.00 ",79,Bay Area Counties
43 - Santa Clara,2014-03-03T00:00:00,Pending Construction,"$38,670,521.00 ",57,Bay Area Counties
43 - Santa Clara,2014-03-03T00:00:00,In Construction,"$959,931,341.00 ",136,Bay Area Counties
43 - Santa Clara,2014-03-03T00:00:00,In Closure,"$92,555,792.00 ",135,Bay Area Counties
44 - Santa Cruz,2014-03-03T00:00:00,In Review,"$1,659,229.00 ",9,""
44 - Santa Cruz,2014-03-03T00:00:00,Pending Construction,"$10,301,225.00 ",7,""
44 - Santa Cruz,2014-03-03T00:00:00,In Construction,"$3,189,961.00 ",20,""
44 - Santa Cruz,2014-03-03T00:00:00,In Closure,"$8,015,104.00 ",10,""
45 - Shasta,2014-03-03T00:00:00,In Review,"$23,242,545.00 ",11,""
45 - Shasta,2014-03-03T00:00:00,Pending Construction,"$1,733,687.00 ",14,""
45 - Shasta,2014-03-03T00:00:00,In Construction,"$7,020,708.00 ",22,""
45 - Shasta,2014-03-03T00:00:00,In Closure,"$9,126,263.00 ",8,""
46 - Sierra,2014-03-03T00:00:00,In Review,$0.00 ,0,""
46 - Sierra,2014-03-03T00:00:00,Pending Construction,0,0,""
46 - Sierra,2014-03-03T00:00:00,In Construction,$0.00 ,0,""
46 - Sierra,2014-03-03T00:00:00,In Closure,$0.00 ,0,""
47 - Siskiyou,2014-03-03T00:00:00,In Review,"$10,000.00 ",1,""
47 - Siskiyou,2014-03-03T00:00:00,Pending Construction,"$726,700.00 ",3,""
47 - Siskiyou,2014-03-03T00:00:00,In Construction,"$1,010,843.00 ",6,""
47 - Siskiyou,2014-03-03T00:00:00,In Closure,"$144,719.00 ",3,""
48 - Solano,2014-03-03T00:00:00,In Review,"$62,712,465.00 ",11,Bay Area Counties
48 - Solano,2014-03-03T00:00:00,Pending Construction,"$10,106,203.00 ",11,Bay Area Counties
48 - Solano,2014-03-03T00:00:00,In Construction,"$43,093,175.00 ",25,Bay Area Counties
48 - Solano,2014-03-03T00:00:00,In Closure,"$33,555,201.00 ",23,Bay Area Counties
49 - Sonoma,2014-03-03T00:00:00,In Review,"$3,644,015.00 ",13,Bay Area Counties
49 - Sonoma,2014-03-03T00:00:00,Pending Construction,"$2,265,350.00 ",16,Bay Area Counties
49 - Sonoma,2014-03-03T00:00:00,In Construction,"$136,369,364.00 ",46,Bay Area Counties
49 - Sonoma,2014-03-03T00:00:00,In Closure,"$50,190,630.00 ",21,Bay Area Counties
50 - Stanislaus,2014-03-03T00:00:00,In Review,"$24,780,123.00 ",21,""
50 - Stanislaus,2014-03-03T00:00:00,Pending Construction,"$3,084,427.00 ",21,""
50 - Stanislaus,2014-03-03T00:00:00,In Construction,"$14,613,186.00 ",36,""
50 - Stanislaus,2014-03-03T00:00:00,In Closure,"$84,636,192.00 ",34,""
51 - Sutter,2014-03-03T00:00:00,In Review,"$12,654,000.00 ",2,""
51 - Sutter,2014-03-03T00:00:00,Pending Construction,"$80,683.00 ",3,""
51 - Sutter,2014-03-03T00:00:00,In Construction,$0.00 ,0,""
51 - Sutter,2014-03-03T00:00:00,In Closure,"$24,350.00 ",2,""
52 - Tehama,2014-03-03T00:00:00,In Review,$0.00 ,0,""
52 - Tehama,2014-03-03T00:00:00,Pending Construction,"$764,500.00 ",7,""
52 - Tehama,2014-03-03T00:00:00,In Construction,"$1,820,752.00 ",5,""
52 - Tehama,2014-03-03T00:00:00,In Closure,$0.00 ,0,""
53 - Trinity,2014-03-03T00:00:00,In Review,"$58,200.00 ",3,""
53 - Trinity,2014-03-03T00:00:00,Pending Construction,"$13,200.00 ",2,""
53 - Trinity,2014-03-03T00:00:00,In Construction,"$423,172.00 ",1,""
53 - Trinity,2014-03-03T00:00:00,In Closure,$0.00 ,0,""
54 - Tulare,2014-03-03T00:00:00,In Review,"$34,359,000.00 ",13,""
54 - Tulare,2014-03-03T00:00:00,Pending Construction,"$2,300,266.00 ",10,""
54 - Tulare,2014-03-03T00:00:00,In Construction,"$72,360,097.00 ",17,""
54 - Tulare,2014-03-03T00:00:00,In Closure,"$12,779,775.00 ",11,""
55 - Tuolumne,2014-03-03T00:00:00,In Review,"$125,500.00 ",2,""
55 - Tuolumne,2014-03-03T00:00:00,Pending Construction,"$812,100.00 ",4,""
55 - Tuolumne,2014-03-03T00:00:00,In Construction,"$79,500.00 ",2,""
55 - Tuolumne,2014-03-03T00:00:00,In Closure,"$1,547,839.00 ",11,""
56 - Ventura,2014-03-03T00:00:00,In Review,"$214,336,328.00 ",44,Greater Los Angeles Counties
56 - Ventura,2014-03-03T00:00:00,Pending Construction,"$32,730,578.00 ",44,Greater Los Angeles Counties
56 - Ventura,2014-03-03T00:00:00,In Construction,"$394,005,197.00 ",75,Greater Los Angeles Counties
56 - Ventura,2014-03-03T00:00:00,In Closure,"$27,330,160.00 ",47,Greater Los Angeles Counties
57 - Yolo,2014-03-03T00:00:00,In Review,"$2,132,382.00 ",5,Greater Sacramento Counties
57 - Yolo,2014-03-03T00:00:00,Pending Construction,"$1,050,371.00 ",5,Greater Sacramento Counties
57 - Yolo,2014-03-03T00:00:00,In Construction,"$728,757.00 ",7,Greater Sacramento Counties
57 - Yolo,2014-03-03T00:00:00,In Closure,"$950,192.00 ",4,Greater Sacramento Counties
58 - Yuba,2014-03-03T00:00:00,In Review,"$15,000.00 ",1,""
58 - Yuba,2014-03-03T00:00:00,Pending Construction,"$42,043,942.00 ",2,""
58 - Yuba,2014-03-03T00:00:00,In Construction,"$89,386,597.00 ",4,""
58 - Yuba,2014-03-03T00:00:00,In Closure,"$416,575.00 ",3,""
01 - Alameda,2014-03-19T00:00:00,In Review,"$42,809,943.00 ",41,Bay Area Counties
01 - Alameda,2014-03-19T00:00:00,Pending Construction,"$327,903,920.00 ",125,Bay Area Counties
01 - Alameda,2014-03-19T00:00:00,In Construction,"$1,348,430,337.00 ",191,Bay Area Counties
01 - Alameda,2014-03-19T00:00:00,In Closure,"$284,727,524.00 ",63,Bay Area Counties
02 - Alpine,2014-03-19T00:00:00,In Review,$0.00 ,0,""
02 - Alpine,2014-03-19T00:00:00,Pending Construction,$0.00 ,0,""
02 - Alpine,2014-03-19T00:00:00,In Construction,$0.00 ,0,""
02 - Alpine,2014-03-19T00:00:00,In Closure,$0.00 ,0,""
03 - Amador,2014-03-19T00:00:00,In Review,"$2,524,832.00 ",1,""
03 - Amador,2014-03-19T00:00:00,Pending Construction,"$316,858.00 ",1,""
03 - Amador,2014-03-19T00:00:00,In Construction,"$1,595,815.00 ",7,""
03 - Amador,2014-03-19T00:00:00,In Closure,"$244,780.00 ",2,""
04 - Butte,2014-03-19T00:00:00,In Review,"$8,672,555.00 ",12,""
04 - Butte,2014-03-19T00:00:00,Pending Construction,"$3,253,655.00 ",11,""
04 - Butte,2014-03-19T00:00:00,In Construction,"$90,047,846.00 ",16,""
04 - Butte,2014-03-19T00:00:00,In Closure,"$1,135,711.00 ",6,""
05 - Calaveras,2014-03-19T00:00:00,In Review,"$85,000.00 ",1,""
05 - Calaveras,2014-03-19T00:00:00,Pending Construction,"$96,500.00 ",3,""
05 - Calaveras,2014-03-19T00:00:00,In Construction,$0.00 ,0,""
05 - Calaveras,2014-03-19T00:00:00,In Closure,0,0,""
06 - Colusa,2014-03-19T00:00:00,In Review,"$55,472.00 ",2,""
06 - Colusa,2014-03-19T00:00:00,Pending Construction,"$25,000.00 ",1,""
06 - Colusa,2014-03-19T00:00:00,In Construction,"$1,951.00 ",1,""
06 - Colusa,2014-03-19T00:00:00,In Closure,0,0,""
07 - Contra Costa,2014-03-19T00:00:00,In Review,"$19,024,700.00 ",34,Bay Area Counties
07 - Contra Costa,2014-03-19T00:00:00,Pending Construction,"$22,838,532.00 ",44,Bay Area Counties
07 - Contra Costa,2014-03-19T00:00:00,In Construction,"$42,758,846.00 ",62,Bay Area Counties
07 - Contra Costa,2014-03-19T00:00:00,In Closure,"$8,200,003.00 ",18,Bay Area Counties
08 - Del Norte,2014-03-19T00:00:00,In Review,$0.00 ,0,""
08 - Del Norte,2014-03-19T00:00:00,Pending Construction,$0.00 ,0,""
08 - Del Norte,2014-03-19T00:00:00,In Construction,"$1,561,000.00 ",2,""
08 - Del Norte,2014-03-19T00:00:00,In Closure,"$5,096,430.00 ",3,""
09 - El Dorado,2014-03-19T00:00:00,In Review,"$11,410,240.00 ",6,Greater Sacramento Counties
09 - El Dorado,2014-03-19T00:00:00,Pending Construction,"$12,500.00 ",1,Greater Sacramento Counties
09 - El Dorado,2014-03-19T00:00:00,In Construction,"$11,773,539.00 ",6,Greater Sacramento Counties
09 - El Dorado,2014-03-19T00:00:00,In Closure,"$24,129,130.00 ",4,Greater Sacramento Counties
10 - Fresno,2014-03-19T00:00:00,In Review,"$31,565,033.00 ",36,""
10 - Fresno,2014-03-19T00:00:00,Pending Construction,"$21,688,793.00 ",37,""
10 - Fresno,2014-03-19T00:00:00,In Construction,"$234,242,987.00 ",74,""
10 - Fresno,2014-03-19T00:00:00,In Closure,"$22,273,737.00 ",73,""
11 - Glenn,2014-03-19T00:00:00,In Review,"$12,962,075.00 ",2,""
11 - Glenn,2014-03-19T00:00:00,Pending Construction,$0.00 ,0,""
11 - Glenn,2014-03-19T00:00:00,In Construction,"$224,685.00 ",1,""
11 - Glenn,2014-03-19T00:00:00,In Closure,$0.00 ,0,""
12 - Humboldt,2014-03-19T00:00:00,In Review,"$8,675,000.00 ",8,""
12 - Humboldt,2014-03-19T00:00:00,Pending Construction,"$295,000.00 ",2,""
12 - Humboldt,2014-03-19T00:00:00,In Construction,"$89,152,693.00 ",16,""
12 - Humboldt,2014-03-19T00:00:00,In Closure,"$504,000.00 ",7,""
13 - Imperial,2014-03-19T00:00:00,In Review,"$25,622,000.00 ",5,""
13 - Imperial,2014-03-19T00:00:00,Pending Construction,"$95,000.00 ",3,""
13 - Imperial,2014-03-19T00:00:00,In Construction,"$108,000.00 ",2,""
13 - Imperial,2014-03-19T00:00:00,In Closure,"$508,711.00 ",2,""
14 - Inyo,2014-03-19T00:00:00,In Review,"$42,660.00 ",1,""
14 - Inyo,2014-03-19T00:00:00,Pending Construction,$0.00 ,0,""
14 - Inyo,2014-03-19T00:00:00,In Construction,"$9,300.00 ",2,""
14 - Inyo,2014-03-19T00:00:00,In Closure,"$543,587.00 ",3,""
15 - Kern,2014-03-19T00:00:00,In Review,"$7,302,740.00 ",28,""
15 - Kern,2014-03-19T00:00:00,Pending Construction,"$1,409,009.00 ",17,""
15 - Kern,2014-03-19T00:00:00,In Construction,"$73,569,229.00 ",38,""
15 - Kern,2014-03-19T00:00:00,In Closure,"$15,095,888.00 ",16,""
16 - Kings,2014-03-19T00:00:00,In Review,"$345,000.00 ",4,""
16 - Kings,2014-03-19T00:00:00,Pending Construction,"$5,035,000.00 ",5,""
16 - Kings,2014-03-19T00:00:00,In Construction,"$28,593,150.00 ",11,""
16 - Kings,2014-03-19T00:00:00,In Closure,"$427,586.00 ",4,""
17 - Lake,2014-03-19T00:00:00,In Review,"$1,879,000.00 ",7,""
17 - Lake,2014-03-19T00:00:00,Pending Construction,$0.00 ,0,""
17 - Lake,2014-03-19T00:00:00,In Construction,"$5,747,340.00 ",13,""
17 - Lake,2014-03-19T00:00:00,In Closure,"$54,335.00 ",4,""
18 - Lassen,2014-03-19T00:00:00,In Review,"$975,870.00 ",3,""
18 - Lassen,2014-03-19T00:00:00,Pending Construction,"$145,120.00 ",1,""
18 - Lassen,2014-03-19T00:00:00,In Construction,"$1,165,643.00 ",9,""
18 - Lassen,2014-03-19T00:00:00,In Closure,$0.00 ,0,""
19 - Los Angeles,2014-03-19T00:00:00,In Review,"$413,637,865.00 ",462,Greater Los Angeles Counties
19 - Los Angeles,2014-03-19T00:00:00,Pending Construction,"$373,119,409.00 ",529,Greater Los Angeles Counties
19 - Los Angeles,2014-03-19T00:00:00,In Construction,"$2,069,225,940.00 ",829,Greater Los Angeles Counties
19 - Los Angeles,2014-03-19T00:00:00,In Closure,"$777,214,150.00 ",802,Greater Los Angeles Counties
20 - Madera,2014-03-19T00:00:00,In Review,"$505,000.00 ",7,""
20 - Madera,2014-03-19T00:00:00,Pending Construction,"$709,954.00 ",2,""
20 - Madera,2014-03-19T00:00:00,In Construction,"$3,083,757.00 ",13,""
20 - Madera,2014-03-19T00:00:00,In Closure,"$17,343,097.00 ",21,""
21 - Marin,2014-03-19T00:00:00,In Review,"$4,318,515.00 ",14,Bay Area Counties
21 - Marin,2014-03-19T00:00:00,Pending Construction,"$3,119,582.00 ",7,Bay Area Counties
21 - Marin,2014-03-19T00:00:00,In Construction,"$23,749,735.00 ",18,Bay Area Counties
21 - Marin,2014-03-19T00:00:00,In Closure,"$5,687,004.00 ",17,Bay Area Counties
22 - Mariposa,2014-03-19T00:00:00,In Review,"$180,000.00 ",1,""
22 - Mariposa,2014-03-19T00:00:00,Pending Construction,0,0,""
22 - Mariposa,2014-03-19T00:00:00,In Construction,$0.00 ,0,""
22 - Mariposa,2014-03-19T00:00:00,In Closure,0,0,""
23 - Mendocino,2014-03-19T00:00:00,In Review,"$17,209,675.00 ",15,""
23 - Mendocino,2014-03-19T00:00:00,Pending Construction,"$1,098,000.00 ",6,""
23 - Mendocino,2014-03-19T00:00:00,In Construction,"$1,551,832.00 ",12,""
23 - Mendocino,2014-03-19T00:00:00,In Closure,"$37,697,300.00 ",5,""
24 - Merced,2014-03-19T00:00:00,In Review,"$233,600.00 ",4,""
24 - Merced,2014-03-19T00:00:00,Pending Construction,"$57,360.00 ",3,""
24 - Merced,2014-03-19T00:00:00,In Construction,"$13,469,690.00 ",6,""
24 - Merced,2014-03-19T00:00:00,In Closure,"$283,518.00 ",5,""
25 - Modoc,2014-03-19T00:00:00,In Review,$0.00 ,0,""
25 - Modoc,2014-03-19T00:00:00,Pending Construction,0,0,""
25 - Modoc,2014-03-19T00:00:00,In Construction,$0.00 ,0,""
25 - Modoc,2014-03-19T00:00:00,In Closure,"$39,312.00 ",1,""
26 - Mono,2014-03-19T00:00:00,In Review,"$190,794.00 ",2,""
26 - Mono,2014-03-19T00:00:00,Pending Construction,$0.00 ,0,""
26 - Mono,2014-03-19T00:00:00,In Construction,"$22,398.00 ",4,""
26 - Mono,2014-03-19T00:00:00,In Closure,$0.00 ,0,""
27 - Monterey,2014-03-19T00:00:00,In Review,"$1,253,990.00 ",8,""
27 - Monterey,2014-03-19T00:00:00,Pending Construction,"$1,336,376.00 ",8,""
27 - Monterey,2014-03-19T00:00:00,In Construction,"$39,803,461.00 ",17,""
27 - Monterey,2014-03-19T00:00:00,In Closure,"$2,318,847.00 ",12,""
28 - Napa,2014-03-19T00:00:00,In Review,"$1,251,950.00 ",8,Bay Area Counties
28 - Napa,2014-03-19T00:00:00,Pending Construction,"$679,603.00 ",5,Bay Area Counties
28 - Napa,2014-03-19T00:00:00,In Construction,"$34,730,747.00 ",17,Bay Area Counties
28 - Napa,2014-03-19T00:00:00,In Closure,"$49,398,203.00 ",13,Bay Area Counties
29 - Nevada,2014-03-19T00:00:00,In Review,"$15,156,431.00 ",6,""
29 - Nevada,2014-03-19T00:00:00,Pending Construction,"$4,160,181.00 ",6,""
29 - Nevada,2014-03-19T00:00:00,In Construction,"$29,306,694.00 ",20,""
29 - Nevada,2014-03-19T00:00:00,In Closure,"$1,267,000.00 ",1,""
30 - Orange,2014-03-19T00:00:00,In Review,"$52,888,611.00 ",91,Greater Los Angeles Counties
30 - Orange,2014-03-19T00:00:00,Pending Construction,"$21,622,951.00 ",58,Greater Los Angeles Counties
30 - Orange,2014-03-19T00:00:00,In Construction,"$213,979,816.00 ",136,Greater Los Angeles Counties
30 - Orange,2014-03-19T00:00:00,In Closure,"$339,798,607.00 ",235,Greater Los Angeles Counties
31 - Placer,2014-03-19T00:00:00,In Review,"$12,423,362.00 ",22,Greater Sacramento Counties
31 - Placer,2014-03-19T00:00:00,Pending Construction,"$1,388,858.00 ",9,Greater Sacramento Counties
31 - Placer,2014-03-19T00:00:00,In Construction,"$15,012,801.00 ",14,Greater Sacramento Counties
31 - Placer,2014-03-19T00:00:00,In Closure,"$124,340,493.00 ",15,Greater Sacramento Counties
32 - Plumas,2014-03-19T00:00:00,In Review,$0.00 ,0,""
32 - Plumas,2014-03-19T00:00:00,Pending Construction,"$123,000.00 ",3,""
32 - Plumas,2014-03-19T00:00:00,In Construction,"$85,900.00 ",2,""
32 - Plumas,2014-03-19T00:00:00,In Closure,"$11,487.00 ",2,""
33 - Riverside,2014-03-19T00:00:00,In Review,"$261,268,778.00 ",70,""
33 - Riverside,2014-03-19T00:00:00,Pending Construction,"$140,675,579.00 ",58,""
33 - Riverside,2014-03-19T00:00:00,In Construction,"$147,062,266.00 ",124,""
33 - Riverside,2014-03-19T00:00:00,In Closure,"$51,293,494.00 ",119,""
34 - Sacramento,2014-03-19T00:00:00,In Review,"$59,156,940.00 ",45,Greater Sacramento Counties
34 - Sacramento,2014-03-19T00:00:00,Pending Construction,"$93,330,605.00 ",42,Greater Sacramento Counties
34 - Sacramento,2014-03-19T00:00:00,In Construction,"$265,801,300.00 ",129,Greater Sacramento Counties
34 - Sacramento,2014-03-19T00:00:00,In Closure,"$111,461,121.00 ",51,Greater Sacramento Counties
35 - San Benito,2014-03-19T00:00:00,In Review,"$164,000.00 ",1,""
35 - San Benito,2014-03-19T00:00:00,Pending Construction,$0.00 ,0,""
35 - San Benito,2014-03-19T00:00:00,In Construction,"$14,006,955.00 ",3,""
35 - San Benito,2014-03-19T00:00:00,In Closure,"$385,374.00 ",3,""
36 - San Bernardino,2014-03-19T00:00:00,In Review,"$83,694,687.00 ",56,""
36 - San Bernardino,2014-03-19T00:00:00,Pending Construction,"$123,652,783.00 ",51,""
36 - San Bernardino,2014-03-19T00:00:00,In Construction,"$205,603,343.00 ",111,""
36 - San Bernardino,2014-03-19T00:00:00,In Closure,"$21,619,059.00 ",92,""
37 - San Diego,2014-03-19T00:00:00,In Review,"$171,757,915.00 ",118,""
37 - San Diego,2014-03-19T00:00:00,Pending Construction,"$298,853,024.00 ",119,""
37 - San Diego,2014-03-19T00:00:00,In Construction,"$921,035,016.00 ",234,""
37 - San Diego,2014-03-19T00:00:00,In Closure,"$395,112,310.00 ",216,""
38 - San Francisco,2014-03-19T00:00:00,In Review,"$1,572,987,460.00 ",64,Bay Area Counties
38 - San Francisco,2014-03-19T00:00:00,Pending Construction,"$357,169,950.00 ",68,Bay Area Counties
38 - San Francisco,2014-03-19T00:00:00,In Construction,"$1,172,097,381.00 ",109,Bay Area Counties
38 - San Francisco,2014-03-19T00:00:00,In Closure,"$440,988,777.00 ",98,Bay Area Counties
39 - San Joaquin,2014-03-19T00:00:00,In Review,"$3,520,715.00 ",19,""
39 - San Joaquin,2014-03-19T00:00:00,Pending Construction,"$91,440,794.00 ",27,""
39 - San Joaquin,2014-03-19T00:00:00,In Construction,"$23,898,086.00 ",50,""
39 - San Joaquin,2014-03-19T00:00:00,In Closure,"$21,780,342.00 ",23,""
40 - San Luis Obispo,2014-03-19T00:00:00,In Review,"$3,168,415.00 ",13,""
40 - San Luis Obispo,2014-03-19T00:00:00,Pending Construction,"$433,000.00 ",11,""
40 - San Luis Obispo,2014-03-19T00:00:00,In Construction,"$6,024,850.00 ",12,""
40 - San Luis Obispo,2014-03-19T00:00:00,In Closure,"$11,313,007.00 ",33,""
41 - San Mateo,2014-03-19T00:00:00,In Review,"$72,874,813.00 ",25,Bay Area Counties
41 - San Mateo,2014-03-19T00:00:00,Pending Construction,"$18,707,151.00 ",19,Bay Area Counties
41 - San Mateo,2014-03-19T00:00:00,In Construction,"$299,929,783.00 ",65,Bay Area Counties
41 - San Mateo,2014-03-19T00:00:00,In Closure,"$119,929,722.00 ",53,Bay Area Counties
42 - Santa Barbara,2014-03-19T00:00:00,In Review,"$10,593,245.00 ",16,""
42 - Santa Barbara,2014-03-19T00:00:00,Pending Construction,"$77,329,844.00 ",17,""
42 - Santa Barbara,2014-03-19T00:00:00,In Construction,"$301,662,072.00 ",49,""
42 - Santa Barbara,2014-03-19T00:00:00,In Closure,"$80,345,406.00 ",19,""
43 - Santa Clara,2014-03-19T00:00:00,In Review,"$604,490,160.00 ",80,Bay Area Counties
43 - Santa Clara,2014-03-19T00:00:00,Pending Construction,"$275,679,051.00 ",58,Bay Area Counties
